------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:00 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.udp                                      | Total                     | 395
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 44592
detect.alert                                  | Total                     | 121882
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 394
app_layer.tx.dns_udp                          | Total                     | 74419
flow.end.state.new                            | Total                     | 566
flow.end.state.established                    | Total                     | 137
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9478
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1062
flow.mgr.flows_notimeout                      | Total                     | 684
flow.mgr.flows_timeout                        | Total                     | 378
flow.mgr.flows_evicted                        | Total                     | 378
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 688
flow.recycler.queue_max                       | Total                     | 285
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:18:23 (uptime: 0d, 00h 00m 56s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 29953
decoder.bytes                                 | Total                     | 8662892
decoder.ipv4                                  | Total                     | 29908
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 41
decoder.sll                                   | Total                     | 29953
decoder.tcp                                   | Total                     | 9656
tcp.syn                                       | Total                     | 86
tcp.synack                                    | Total                     | 57
tcp.rst                                       | Total                     | 100
decoder.udp                                   | Total                     | 20252
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 289
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 412
flow.active                                   | Total                     | 276
flow.tcp                                      | Total                     | 118
flow.udp                                      | Total                     | 291
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 7
flow.wrk.flows_evicted                        | Total                     | 19
tcp.invalid_checksum                          | Total                     | 5756
detect.alert                                  | Total                     | 13646
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
